time,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
16.267664909362793,0.5,0.0,0.0,0.0,0.0,0.0
16.767743587493896,0.5,0.0,0.0,0.0,0.0,0.0
16.79781413078308,0.5,0.0,0.0,0.0,0.0,0.0
16.826979160308838,0.5,0.0,0.0,0.0,0.0,0.0
16.85745644569397,0.5,0.0,0.0,0.0,0.0,0.0
16.887638568878174,0.5,0.0,0.0,0.0,0.0,0.0
16.917908906936646,0.5,0.0,0.0,0.0,0.0,0.0
16.948569536209106,0.5,0.0,0.0,0.0,0.0,0.0
16.98091745376587,0.5,0.0,0.0,0.0,0.0,0.0
17.007102012634277,0.5,0.0,0.0,0.0,0.0,0.0
17.038580656051636,0.5,0.0,0.0,0.0,0.0,0.0
17.066699743270874,0.5,0.0,0.0,0.0,0.0,0.0
17.097978830337524,0.5,0.0,0.0,0.0,0.0,0.0
17.13021445274353,0.5,0.0,0.0,0.0,0.0,0.0
17.158427953720093,0.5,0.0,0.0,0.0,0.0,0.0
17.187660217285156,0.5,0.0,0.0,0.0,0.0,0.0
17.217898845672607,0.5,0.0,0.0,0.0,0.0,0.0
17.24776554107666,0.5,0.0,0.0,0.0,0.0,0.0
17.280183792114258,0.5,0.0,0.0,0.0,0.0,0.0
17.308077573776245,0.5,0.0,0.0,0.0,0.0,0.0
17.338038444519043,0.5,0.0,0.0,0.0,0.0,0.0
17.36827850341797,0.5,0.0,0.0,0.0,0.0,0.0
17.3985538482666,0.5,0.0,0.0,0.0,0.0,0.0
17.42752957344055,0.5,0.0,0.0,0.0,0.0,0.0
17.457427501678467,0.5,0.0,0.0,0.0,0.0,0.0
17.487700700759888,0.5,0.0,0.0,0.0,0.0,0.0
17.51761531829834,0.5,0.0,0.0,0.0,0.0,0.0
17.54762840270996,0.5,0.0,0.0,0.0,0.0,0.0
17.57973599433899,0.5,0.0,0.0,0.0,0.0,0.0
17.60779643058777,0.5,0.0,0.0,0.0,0.0,0.0
17.637723207473755,0.5,0.0,0.0,0.0,0.0,0.0
17.667789220809937,0.5,0.0,0.0,0.0,0.0,0.0
17.69774341583252,0.5,0.0,0.0,0.0,0.0,0.0
17.729041576385498,0.5,0.0,0.0,0.0,0.0,0.0
17.758031129837036,0.5,0.0,0.0,0.0,0.0,0.0
17.788113117218018,0.5,0.0,0.0,0.0,0.0,0.0
17.81802248954773,0.5,0.0,0.0,0.0,0.0,0.0
17.848594903945923,0.5,0.0,0.0,0.0,0.0,0.0
17.881333351135254,0.5,0.0,0.0,0.0,0.0,0.0
17.908117294311523,0.5,0.0,0.0,0.0,0.0,0.0
17.93816041946411,0.5,0.0,0.0,0.0,0.0,0.0
17.968481063842773,0.5,0.0,0.0,0.0,0.0,0.0
17.998744249343872,0.5,0.0,0.0,0.0,0.0,0.0
18.02912211418152,0.5,0.0,0.0,0.0,0.0,0.0
18.05814528465271,0.5,0.0,0.0,0.0,0.0,0.0
